iter	Passed	Remaining
0	5	496
1	9	451
2	13	440
3	17	424
4	21	414
5	25	402
6	30	399
7	34	395
8	38	391
9	43	391
10	48	393
11	52	386
12	56	380
13	61	378
14	66	375
15	70	370
16	76	373
17	80	367
18	84	362
19	89	358
20	94	354
21	99	351
22	103	347
23	108	343
24	112	338
25	117	334
26	120	326
27	123	316
28	125	307
29	127	298
30	129	288
31	131	279
32	133	271
33	135	263
34	137	255
35	139	247
36	141	240
37	143	233
38	145	226
39	146	220
40	148	213
41	149	206
42	151	200
43	152	194
44	154	189
45	156	184
46	158	179
47	160	174
48	162	168
49	163	163
50	165	159
51	167	154
52	169	150
53	171	146
54	172	141
55	174	137
56	176	133
57	178	129
58	180	125
59	182	121
60	184	117
61	186	114
62	187	110
63	189	106
64	191	103
65	193	99
66	195	96
67	197	92
68	199	89
69	201	86
70	203	83
71	205	79
72	207	76
73	208	73
74	210	70
75	211	66
76	213	63
77	215	60
78	217	57
79	219	54
80	220	51
81	222	48
82	224	46
83	226	43
84	228	40
85	230	37
86	232	34
87	234	31
88	235	29
89	237	26
90	239	23
91	241	21
92	243	18
93	245	15
94	247	13
95	249	10
96	250	7
97	252	5
98	254	2
99	255	0
